siteyr,block,treatment,yield.kgha
NY20,1,Control,2931.736628
NY20,1,FM,2386.456659
NY20,1,PL,2434.968396
NY20,1,SN,3094.279297
NY20,2,Control,1836.783493
NY20,2,FM,2118.066846
NY20,2,PL,2239.543199
NY20,2,SN,2932.440706
NY20,3,Control,2498.061448
NY20,3,FM,2432.025954
NY20,3,PL,2190.416414
NY20,3,SN,3152.518123
NY20,4,Control,1558.007838
NY20,4,FM,2675.197061
NY20,4,PL,2230.538138
NY20,4,SN,2017.525218
NY21,1,Control,2148.155829
NY21,1,FM,2239.696613
NY21,1,PL,1840.034996
NY21,1,SN,2874.827138
NY21,2,Control,2043.426424
NY21,2,FM,3050.207167
NY21,2,PL,2744.266887
NY21,2,SN,2480.652605
NY21,3,Control,2887.022221
NY21,3,FM,2914.401258
NY21,3,PL,2886.224927
NY21,3,SN,2857.335887
NY21,4,Control,2365.531892
NY21,4,FM,2385.728557
NY21,4,PL,2285.034166
NY21,4,SN,2504.750046
NY21,5,Control,3295.325111
NY21,5,FM,2960.927524
NY21,5,PL,2053.499292
NY21,5,SN,2366.588791
NY22,1,Control,2372.322953
NY22,1,FM,2556.997985
NY22,1,PL,2469.251877
NY22,1,SN,2488.522396
NY22,2,Control,2344.794043
NY22,2,FM,3091.690679
NY22,2,PL,1890.601316
NY22,2,SN,2768.947937
NY22,3,Control,2459.241663
NY22,3,FM,2574.720828
NY22,3,PL,2246.935654
NY22,3,SN,2339.582082
NY22,4,Control,1887.027063
NY22,4,FM,2487.155011
NY22,4,PL,2570.027465
NY22,4,SN,2436.945245
NY22,5,Control,3232.819571
NY22,5,FM,2266.37323
NY22,5,PL,1564.118146
NY22,5,SN,2915.081106
WI21,1,Control,2621.227736
WI21,1,FM,2147.089985
WI21,1,PL,1797.712103
WI21,1,SN,2383.52058
WI21,2,Control,2240.760725
WI21,2,FM,2442.567211
WI21,2,PL,2165.191038
WI21,2,SN,2596.20567
WI21,3,Control,2367.088076
WI21,3,FM,2723.110896
WI21,3,PL,2483.447887
WI21,3,SN,2204.002656
WI21,4,Control,2700.241542
WI21,4,FM,2572.198783
WI21,4,PL,2473.332694
WI21,4,SN,2151.677569
WI22,1,Control,4125.246442
WI22,1,FM,3913.357495
WI22,1,PL,3231.033101
WI22,1,SN,2939.744885
WI22,2,Control,3347.55938
WI22,2,FM,3196.129145
WI22,2,PL,3180.788856
WI22,2,SN,2964.158469
WI22,3,Control,2964.11305
WI22,3,FM,2660.898063
WI22,3,PL,3200.98423
WI22,3,SN,3745.673482
WI22,4,Control,3494.744605
WI22,4,FM,2654.405793
WI22,4,PL,3304.33409
WI22,4,SN,3559.321758
